City_ID,0
437,dhidhdhoo
438,namibe
439,namatanai
440,laguna
441,flinders
442,panorama
443,havarna
444,kaitangata
445,hollins
446,luderitz
447,bulungu
448,viedma
449,nsukka
450,belfort
451,maamba
452,mange
453,zhangjiakou
454,bara
455,poum
456,souillac
457,guinsiliban
458,aripuana
459,tayshet
460,pangnirtung
461,turukhansk
462,sakakah
463,vaitupu
464,khormuj
465,camapua
466,margate
467,mopipi
468,sucha beskidzka
469,paraiso
470,irbeyskoye
471,camacha
472,isla vista
473,noumea
474,birjand
475,ismailia
476,narino
477,bonthe
478,piracuruca
479,san vicente
480,el colomo
481,kollam
482,guerrero negro
483,kaduqli
484,atikokan
485,vestmanna
486,pathein
487,edd
488,goderich
489,toma
490,morgan city
491,dondo
492,kut chap
493,mbandaka
494,jinxiang
495,lasa
496,roma
497,tulsipur
498,dire
499,catalina foothills
500,lev tolstoy
501,grand river south east
502,pekan
503,byron bay
504,jablah
505,alekseyevsk
506,panguiranan
507,sosnovo-ozerskoye
508,gallup
509,kijang
510,ponta delgada
511,aykhal
512,enshi
513,kismayo
514,sioux lookout
515,southbridge
516,mahaicony
517,lethem
518,ormara
519,jamu mare
520,garachine
521,zaria
522,puri
523,manta
524,ixtapa
525,bokspits
526,talnakh
527,havelock
528,umbauba
529,hovd
530,waddan
531,saint-joseph
532,alice springs
533,sicamous
534,madaoua
535,viligili
536,bourail
537,tuatapere
538,matto
539,mufulira
540,zverinogolovskoye
541,ahipara
542,alexandria
543,leshukonskoye
544,carutapera
545,hobyo
546,saint anthony
547,cangucu
548,naze
549,constantine
550,humaita
551,qaqortoq
552,kavieng
553,santa maria
554,reconquista
555,arman
556,waingapu
557,karpuninskiy
558,ketchikan
559,maghama
560,miraflores
561,vila franca do campo
562,togur
563,broken hill
564,tarut
565,sorrento
566,galitsy
567,anaconda
568,staszow
569,merke
570,preobrazheniye
571,arica
572,saurimo
573,chapais
574,albino
575,ust-koksa
576,gambela
577,burnie
578,wote
579,quatre cocos
580,longlac
581,salinopolis
582,bahia honda
583,senanga
584,tobati
585,jaisalmer
586,kununurra
587,ludwigslust
588,bealanana
589,okhotsk
590,saint george
591,colesberg
592,san pedro de macoris
593,srednyaya yelyuzan
594,barsukovskaya
595,otukpo
596,grand centre
597,melito di porto salvo
598,rybnaya sloboda
599,terrace
600,benguela
601,puerto leguizamo
602,muros
603,la gaulette
604,bereda
605,bandar-e torkaman
606,wufeng
607,datong
608,bonfim
609,livingston
610,ardakan
611,pemangkat
612,laguna de perlas
613,trois-pistoles
614,tasbuget
615,lazo
616,tawkar
617,porto novo
618,vila velha
